Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR
E0;07/09/1996;Nott'm Forest;Leicester;0;0;D
E0;07/09/1996;Sheffield Weds;Chelsea;0;2;A
E0;07/09/1996;Tottenham;Newcastle;1;2;A
E0;07/09/1996;Wimbledon;Everton;4;0;H
E0;08/09/1996;Sunderland;West Ham;0;0;D
E0;09/09/1996;Blackburn;Derby;1;2;A
E0;14/09/1996;Coventry;Leeds;2;1;H
E0;14/09/1996;Derby;Sunderland;1;0;H
E0;14/09/1996;Everton;Middlesbrough;1;2;A
E0;14/09/1996;Man United;Nott'm Forest;4;1;H
E0;14/09/1996;Newcastle;Blackburn;2;1;H
E0;14/09/1996;Southampton;Tottenham;0;1;A
E0;14/09/1996;West Ham;Wimbledon;0;2;A
E0;15/09/1996;Chelsea;Aston Villa;1;1;D
E0;15/09/1996;Leicester;Liverpool;0;3;A
E0;16/09/1996;Arsenal;Sheffield Weds;4;1;H
E0;21/09/1996;Aston Villa;Man United;0;0;D
E0;21/09/1996;Blackburn;Everton;1;1;D
E0;21/09/1996;Leeds;Newcastle;0;1;A
E0;21/09/1996;Liverpool;Chelsea;5;1;H
E0;21/09/1996;Middlesbrough;Arsenal;0;2;A
E0;21/09/1996;Nott'm Forest;West Ham;0;2;A
E0;21/09/1996;Sheffield Weds;Derby;0;0;D
E0;21/09/1996;Sunderland;Coventry;1;0;H
E0;22/09/1996;Tottenham;Leicester;1;2;A
E0;23/09/1996;Wimbledon;Southampton;3;1;H
E0;28/09/1996;Arsenal;Sunderland;2;0;H
E0;28/09/1996;Chelsea;Nott'm Forest;1;1;D
E0;28/09/1996;Coventry;Blackburn;0;0;D
E0;28/09/1996;Derby;Wimbledon;0;2;A
E0;28/09/1996;Everton;Sheffield Weds;2;0;H
E0;28/09/1996;Leicester;Leeds;1;0;H
E0;28/09/1996;Southampton;Middlesbrough;4;0;H
E0;29/09/1996;Man United;Tottenham;2;0;H
E0;29/09/1996;West Ham;Liverpool;1;2;A
E0;30/09/1996;Newcastle;Aston Villa;4;3;H
E0;12/10/1996;Blackburn;Arsenal;0;2;A
E0;12/10/1996;Derby;Newcastle;0;1;A
E0;12/10/1996;Everton;West Ham;2;1;H
E0;12/10/1996;Leeds;Nott'm Forest;2;0;H
E0;12/10/1996;Leicester;Chelsea;1;3;A
E0;12/10/1996;Man United;Liverpool;1;0;H
E0;12/10/1996;Tottenham;Aston Villa;1;0;H
E0;12/10/1996;Wimbledon;Sheffield Weds;4;2;H
E0;13/10/1996;Coventry;Southampton;1;1;D
E0;14/10/1996;Sunderland;Middlesbrough;2;2;D
E0;19/10/1996;Arsenal;Coventry;0;0;D
E0;19/10/1996;Aston Villa;Leeds;2;0;H
E0;19/10/1996;Chelsea;Wimbledon;2;4;A
E0;19/10/1996;Middlesbrough;Tottenham;0;3;A
E0;19/10/1996;Nott'm Forest;Derby;1;1;D
E0;19/10/1996;Sheffield Weds;Blackburn;1;1;D
E0;19/10/1996;Southampton;Sunderland;3;0;H
E0;19/10/1996;West Ham;Leicester;1;0;H
E0;20/10/1996;Newcastle;Man United;5;0;H
E0;26/10/1996;Arsenal;Leeds;3;0;H
E0;26/10/1996;Chelsea;Tottenham;3;1;H
E0;26/10/1996;Coventry;Sheffield Weds;0;0;D
E0;26/10/1996;Leicester;Newcastle;2;0;H
E0;26/10/1996;Middlesbrough;Wimbledon;0;0;D
E0;26/10/1996;Southampton;Man United;6;3;H
E0;26/10/1996;Sunderland;Aston Villa;1;0;H
E0;26/10/1996;West Ham;Blackburn;2;1;H
E0;27/10/1996;Liverpool;Derby;2;1;H
E0;28/10/1996;Nott'm Forest;Everton;0;1;A
E0;02/11/1996;Aston Villa;Nott'm Forest;2;0;H
E0;02/11/1996;Derby;Leicester;2;0;H
E0;02/11/1996;Leeds;Sunderland;3;0;H
E0;02/11/1996;Man United;Chelsea;1;2;A
E0;02/11/1996;Sheffield Weds;Southampton;1;1;D
E0;02/11/1996;Tottenham;West Ham;1;0;H
E0;02/11/1996;Wimbledon;Arsenal;2;2;D
E0;03/11/1996;Blackburn;Liverpool;3;0;H
E0;03/11/1996;Newcastle;Middlesbrough;3;1;H
E0;04/11/1996;Everton;Coventry;1;1;D
E0;16/11/1996;Aston Villa;Leicester;1;3;A
E0;16/11/1996;Blackburn;Chelsea;1;1;D
E0;16/11/1996;Everton;Southampton;7;1;H
E0;16/11/1996;Leeds;Liverpool;0;2;A
E0;16/11/1996;Man United;Arsenal;1;0;H
E0;16/11/1996;Newcastle;West Ham;1;1;D
E0;16/11/1996;Tottenham;Sunderland;2;0;H
E0;16/11/1996;Wimbledon;Coventry;2;2;D
E0;17/11/1996;Derby;Middlesbrough;2;1;H
E0;18/11/1996;Sheffield Weds;Nott'm Forest;2;0;H
E0;20/11/1996;Liverpool;Everton;1;1;D
E0;23/11/1996;Chelsea;Newcastle;1;1;D
E0;23/11/1996;Coventry;Aston Villa;1;2;A
E0;23/11/1996;Leicester;Everton;1;2;A
E0;23/11/1996;Liverpool;Wimbledon;1;1;D
E0;23/11/1996;Middlesbrough;Man United;2;2;D
E0;23/11/1996;Southampton;Leeds;0;2;A
E0;23/11/1996;Sunderland;Sheffield Weds;1;1;D
E0;23/11/1996;West Ham;Derby;1;1;D
E0;24/11/1996;Arsenal;Tottenham;3;1;H
E0;25/11/1996;Nott'm Forest;Blackburn;2;2;D
E0;30/11/1996;Aston Villa;Middlesbrough;1;0;H
E0;30/11/1996;Blackburn;Southampton;2;1;H
E0;30/11/1996;Derby;Coventry;2;1;H
E0;30/11/1996;Everton;Sunderland;1;3;A
E0;30/11/1996;Man United;Leicester;3;1;H
E0;30/11/1996;Newcastle;Arsenal;1;2;A
E0;30/11/1996;Sheffield Weds;West Ham;0;0;D
E0;30/11/1996;Wimbledon;Nott'm Forest;1;0;H
E0;01/12/1996;Leeds;Chelsea;2;0;H
E0;02/12/1996;Tottenham;Liverpool;0;2;A
E0;03/12/1996;Middlesbrough;Leicester;0;2;A
E0;04/12/1996;Arsenal;Southampton;3;1;H
E0;04/12/1996;West Ham;Aston Villa;0;2;A
E0;07/12/1996;Arsenal;Derby;2;2;D
E0;07/12/1996;Chelsea;Everton;2;2;D
E0;07/12/1996;Coventry;Tottenham;1;2;A
E0;07/12/1996;Leicester;Blackburn;1;1;D
E0;07/12/1996;Liverpool;Sheffield Weds;0;1;A
E0;07/12/1996;Middlesbrough;Leeds;0;0;D
E0;07/12/1996;Southampton;Aston Villa;0;1;A
E0;07/12/1996;Sunderland;Wimbledon;1;3;A
E0;08/12/1996;West Ham;Man United;2;2;D
E0;09/12/1996;Nott'm Forest;Newcastle;0;0;D
E0;14/12/1996;Leeds;Tottenham;0;0;D
E0;14/12/1996;Liverpool;Middlesbrough;5;1;H
E0;14/12/1996;Wimbledon;Blackburn;1;0;H
E0;15/12/1996;Sunderland;Chelsea;3;0;H
E0;16/12/1996;Derby;Everton;0;1;A
E0;17/12/1996;Coventry;Newcastle;2;1;H
E0;17/12/1996;Liverpool;Nott'm Forest;4;2;H
E0;18/12/1996;Sheffield Weds;Man United;1;1;D
E0;21/12/1996;Chelsea;West Ham;3;1;H
E0;21/12/1996;Everton;Leeds;0;0;D
E0;21/12/1996;Leicester;Coventry;0;2;A
E0;21/12/1996;Man United;Sunderland;5;0;H
E0;21/12/1996;Nott'm Forest;Arsenal;2;1;H
E0;21/12/1996;Southampton;Derby;3;1;H
E0;21/12/1996;Tottenham;Sheffield Weds;1;1;D
E0;22/12/1996;Aston Villa;Wimbledon;5;0;H
E0;23/12/1996;Newcastle;Liverpool;1;1;D
E0;26/12/1996;Aston Villa;Chelsea;0;2;A
E0;26/12/1996;Blackburn;Newcastle;1;0;H
E0;26/12/1996;Leeds;Coventry;1;3;A
E0;26/12/1996;Liverpool;Leicester;1;1;D
E0;26/12/1996;Middlesbrough;Everton;4;2;H
E0;26/12/1996;Nott'm Forest;Man United;0;4;A
E0;26/12/1996;Sheffield Weds;Arsenal;0;0;D
E0;26/12/1996;Sunderland;Derby;2;0;H
E0;26/12/1996;Tottenham;Southampton;3;1;H
E0;28/12/1996;Arsenal;Aston Villa;2;2;D
E0;28/12/1996;Chelsea;Sheffield Weds;2;2;D
E0;28/12/1996;Coventry;Middlesbrough;3;0;H
E0;28/12/1996;Derby;Blackburn;0;0;D
E0;28/12/1996;Everton;Wimbledon;1;3;A
E0;28/12/1996;Leicester;Nott'm Forest;2;2;D
E0;28/12/1996;Man United;Leeds;1;0;H
E0;28/12/1996;Newcastle;Tottenham;7;1;H
E0;28/12/1996;West Ham;Sunderland;2;0;H
E0;29/12/1996;Southampton;Liverpool;0;1;A
E0;01/01/1997;Arsenal;Middlesbrough;2;0;H
E0;01/01/1997;Chelsea;Liverpool;1;0;H
E0;01/01/1997;Coventry;Sunderland;2;2;D
E0;01/01/1997;Everton;Blackburn;0;2;A
E0;01/01/1997;Man United;Aston Villa;0;0;D
E0;01/01/1997;Newcastle;Leeds;3;0;H
E0;01/01/1997;West Ham;Nott'm Forest;0;1;A
E0;11/01/1997;Aston Villa;Newcastle;2;2;D
E0;11/01/1997;Blackburn;Coventry;4;0;H
E0;11/01/1997;Leeds;Leicester;3;0;H
E0;11/01/1997;Liverpool;West Ham;0;0;D
E0;11/01/1997;Middlesbrough;Southampton;0;1;A
E0;11/01/1997;Nott'm Forest;Chelsea;2;0;H
E0;11/01/1997;Sheffield Weds;Everton;2;1;H
E0;11/01/1997;Sunderland;Arsenal;1;0;H
E0;11/01/1997;Wimbledon;Derby;1;1;D
E0;12/01/1997;Tottenham;Man United;1;2;A
E0;18/01/1997;Chelsea;Derby;3;1;H
E0;18/01/1997;Coventry;Man United;0;2;A
E0;18/01/1997;Leicester;Wimbledon;1;0;H
E0;18/01/1997;Liverpool;Aston Villa;3;0;H
E0;18/01/1997;Middlesbrough;Sheffield Weds;4;2;H
E0;18/01/1997;Southampton;Newcastle;2;2;D
E0;18/01/1997;Sunderland;Blackburn;0;0;D
E0;19/01/1997;Arsenal;Everton;3;1;H
E0;19/01/1997;Nott'm Forest;Tottenham;2;1;H
E0;20/01/1997;West Ham;Leeds;0;2;A
E0;29/01/1997;Aston Villa;Sheffield Weds;0;1;A
E0;29/01/1997;Leeds;Derby;0;0;D
E0;29/01/1997;Leicester;Sunderland;1;1;D
E0;29/01/1997;Man United;Wimbledon;2;1;H
E0;29/01/1997;Newcastle;Everton;4;1;H
E0;29/01/1997;Nott'm Forest;Coventry;0;1;A
E0;29/01/1997;Tottenham;Blackburn;2;1;H
E0;29/01/1997;West Ham;Arsenal;1;2;A
E0;01/02/1997;Aston Villa;Sunderland;1;0;H
E0;01/02/1997;Blackburn;West Ham;2;1;H
E0;01/02/1997;Derby;Liverpool;0;1;A
E0;01/02/1997;Everton;Nott'm Forest;2;0;H
E0;01/02/1997;Leeds;Arsenal;0;0;D
E0;01/02/1997;Man United;Southampton;2;1;H
E0;01/02/1997;Sheffield Weds;Coventry;0;0;D
E0;01/02/1997;Tottenham;Chelsea;1;2;A
E0;01/02/1997;Wimbledon;Middlesbrough;1;1;D
E0;02/02/1997;Newcastle;Leicester;4;3;H
E0;15/02/1997;Derby;West Ham;1;0;H
E0;15/02/1997;Tottenham;Arsenal;0;0;D
E0;19/02/1997;Arsenal;Man United;1;2;A
E0;19/02/1997;Aston Villa;Coventry;2;1;H
E0;19/02/1997;Derby;Sheffield Weds;2;2;D
E0;19/02/1997;Liverpool;Leeds;4;0;H
E0;22/02/1997;Chelsea;Man United;1;1;D
E0;22/02/1997;Coventry;Everton;0;0;D
E0;22/02/1997;Leicester;Derby;4;2;H
E0;22/02/1997;Liverpool;Blackburn;0;0;D
E0;22/02/1997;Middlesbrough;Newcastle;0;1;A
E0;22/02/1997;Nott'm Forest;Aston Villa;0;0;D
E0;22/02/1997;Southampton;Sheffield Weds;2;3;A
E0;22/02/1997;Sunderland;Leeds;0;1;A
E0;23/02/1997;Arsenal;Wimbledon;0;1;A
E0;24/02/1997;West Ham;Tottenham;4;3;H
E0;26/02/1997;Southampton;Wimbledon;0;0;D
E0;01/03/1997;Blackburn;Sunderland;1;0;H
E0;01/03/1997;Derby;Chelsea;3;2;H
E0;01/03/1997;Everton;Arsenal;0;2;A
E0;01/03/1997;Leeds;West Ham;1;0;H
E0;01/03/1997;Man United;Coventry;3;1;H
E0;01/03/1997;Newcastle;Southampton;0;1;A
E0;01/03/1997;Sheffield Weds;Middlesbrough;3;1;H
E0;01/03/1997;Tottenham;Nott'm Forest;0;1;A
E0;01/03/1997;Wimbledon;Leicester;1;3;A
E0;02/03/1997;Aston Villa;Liverpool;1;0;H
E0;03/03/1997;Coventry;Wimbledon;1;1;D
E0;04/03/1997;Sunderland;Tottenham;0;4;A
E0;05/03/1997;Chelsea;Blackburn;1;1;D
E0;05/03/1997;Leicester;Aston Villa;1;0;H
E0;05/03/1997;Middlesbrough;Derby;6;1;H
E0;05/03/1997;Nott'm Forest;Sheffield Weds;0;3;A
E0;05/03/1997;Southampton;Everton;2;2;D
E0;08/03/1997;Arsenal;Nott'm Forest;2;0;H
E0;08/03/1997;Coventry;Leicester;0;0;D
E0;08/03/1997;Leeds;Everton;1;0;H
E0;08/03/1997;Sunderland;Man United;2;1;H
E0;10/03/1997;Liverpool;Newcastle;4;3;H
E0;11/03/1997;Blackburn;Nott'm Forest;1;1;D
E0;12/03/1997;Leeds;Southampton;0;0;D
E0;12/03/1997;Sheffield Weds;Sunderland;2;1;H
E0;12/03/1997;West Ham;Chelsea;3;2;H
E0;15/03/1997;Aston Villa;West Ham;0;0;D
E0;15/03/1997;Blackburn;Wimbledon;3;1;H
E0;15/03/1997;Everton;Derby;1;0;H
E0;15/03/1997;Leicester;Middlesbrough;1;3;A
E0;15/03/1997;Man United;Sheffield Weds;2;0;H
E0;15/03/1997;Newcastle;Coventry;4;0;H
E0;15/03/1997;Nott'm Forest;Liverpool;1;1;D
E0;15/03/1997;Southampton;Arsenal;0;2;A
E0;15/03/1997;Tottenham;Leeds;1;0;H
E0;16/03/1997;Chelsea;Sunderland;6;2;H
E0;18/03/1997;Wimbledon;West Ham;1;1;D
E0;19/03/1997;Chelsea;Southampton;1;0;H
E0;19/03/1997;Leicester;Tottenham;1;1;D
E0;19/03/1997;Middlesbrough;Blackburn;2;1;H
E0;22/03/1997;Blackburn;Aston Villa;0;2;A
E0;22/03/1997;Coventry;West Ham;1;3;A
E0;22/03/1997;Derby;Tottenham;4;2;H
E0;22/03/1997;Everton;Man United;0;2;A
E0;22/03/1997;Middlesbrough;Chelsea;1;0;H
E0;22/03/1997;Sheffield Weds;Leeds;2;2;D
E0;22/03/1997;Southampton;Leicester;2;2;D
E0;22/03/1997;Sunderland;Nott'm Forest;1;1;D
E0;23/03/1997;Wimbledon;Newcastle;1;1;D
E0;24/03/1997;Arsenal;Liverpool;1;2;A
E0;24/03/1997;Middlesbrough;Nott'm Forest;1;1;D
E0;05/04/1997;Aston Villa;Everton;3;1;H
E0;05/04/1997;Chelsea;Arsenal;0;3;A
E0;05/04/1997;Man United;Derby;2;3;A
E0;05/04/1997;Newcastle;Sunderland;1;1;D
E0;05/04/1997;Nott'm Forest;Southampton;1;3;A
E0;05/04/1997;Tottenham;Wimbledon;1;0;H
E0;06/04/1997;Liverpool;Coventry;1;2;A
E0;07/04/1997;Leeds;Blackburn;0;0;D
E0;09/04/1997;Coventry;Chelsea;3;1;H
E0;09/04/1997;Derby;Southampton;1;1;D
E0;09/04/1997;Everton;Leicester;1;1;D
E0;09/04/1997;Sheffield Weds;Tottenham;2;1;H
E0;09/04/1997;West Ham;Middlesbrough;0;0;D
E0;09/04/1997;Wimbledon;Aston Villa;0;2;A
E0;12/04/1997;Arsenal;Leicester;2;0;H
E0;12/04/1997;Blackburn;Man United;2;3;A
E0;12/04/1997;Derby;Aston Villa;2;1;H
E0;12/04/1997;Everton;Tottenham;1;0;H
E0;12/04/1997;Southampton;West Ham;2;0;H
E0;13/04/1997;Sheffield Weds;Newcastle;1;1;D
E0;13/04/1997;Sunderland;Liverpool;1;2;A
E0;16/04/1997;Everton;Liverpool;1;1;D
E0;16/04/1997;Newcastle;Chelsea;3;1;H
E0;16/04/1997;Wimbledon;Leeds;2;0;H
E0;19/04/1997;Arsenal;Blackburn;1;1;D
E0;19/04/1997;Aston Villa;Tottenham;1;1;D
E0;19/04/1997;Chelsea;Leicester;2;1;H
E0;19/04/1997;Liverpool;Man United;1;3;A
E0;19/04/1997;Middlesbrough;Sunderland;0;1;A
E0;19/04/1997;Newcastle;Derby;3;1;H
E0;19/04/1997;Nott'm Forest;Leeds;1;1;D
E0;19/04/1997;Sheffield Weds;Wimbledon;3;1;H
E0;19/04/1997;Southampton;Coventry;2;2;D
E0;19/04/1997;West Ham;Everton;2;2;D
E0;21/04/1997;Coventry;Arsenal;1;1;D
E0;22/04/1997;Blackburn;Sheffield Weds;4;1;H
E0;22/04/1997;Leeds;Aston Villa;0;0;D
E0;22/04/1997;Sunderland;Southampton;0;1;A
E0;22/04/1997;Wimbledon;Chelsea;0;1;A
E0;23/04/1997;Derby;Nott'm Forest;0;0;D
E0;23/04/1997;Leicester;West Ham;0;1;A
E0;24/04/1997;Tottenham;Middlesbrough;1;0;H
E0;03/05/1997;Arsenal;Newcastle;0;1;A
E0;03/05/1997;Chelsea;Leeds;0;0;D
E0;03/05/1997;Coventry;Derby;1;2;A
E0;03/05/1997;Leicester;Man United;2;2;D
E0;03/05/1997;Liverpool;Tottenham;2;1;H
E0;03/05/1997;Middlesbrough;Aston Villa;3;2;H
E0;03/05/1997;Nott'm Forest;Wimbledon;1;1;D
E0;03/05/1997;Southampton;Blackburn;2;0;H
E0;03/05/1997;Sunderland;Everton;3;0;H
E0;03/05/1997;West Ham;Sheffield Weds;5;1;H
E0;05/05/1997;Man United;Middlesbrough;3;3;D
E0;06/05/1997;West Ham;Newcastle;0;0;D
E0;06/05/1997;Wimbledon;Liverpool;2;1;H
E0;07/05/1997;Leicester;Sheffield Weds;1;0;H
E0;08/05/1997;Blackburn;Middlesbrough;0;0;D
E0;08/05/1997;Man United;Newcastle;0;0;D
E0;11/05/1997;Aston Villa;Southampton;1;0;H
E0;11/05/1997;Blackburn;Leicester;2;4;A
E0;11/05/1997;Derby;Arsenal;1;3;A
E0;11/05/1997;Everton;Chelsea;1;2;A
E0;11/05/1997;Leeds;Middlesbrough;1;1;D
E0;11/05/1997;Man United;West Ham;2;0;H
E0;11/05/1997;Newcastle;Nott'm Forest;5;0;H
E0;11/05/1997;Sheffield Weds;Liverpool;1;1;D
E0;11/05/1997;Tottenham;Coventry;1;2;A
E0;11/05/1997;Wimbledon;Sunderland;1;0;H
